video_stem,npz_relpath,n_frames,native_fps_used,detection_rate_left,detection_rate_right,detection_rate_overall
HandWash_011_A_11_G_02,HandWash_011_A_11_G_02.npz,279,30.11,0.4731,0.2832,0.3781
HandWash_012_A_11_G_03,HandWash_012_A_11_G_03.npz,267,30.11,0.9775,0.1573,0.5674
HandWash_013_A_11_G_03,HandWash_013_A_11_G_03.npz,270,30.11,0.9667,0.1519,0.5593
HandWash_014_A_11_G_03,HandWash_014_A_11_G_03.npz,272,30.11,0.9779,0.1691,0.5735
HandWash_015_A_11_G_04,HandWash_015_A_11_G_04.npz,203,30.15,1.0,0.3399,0.67
HandWash_016_A_11_G_04,HandWash_016_A_11_G_04.npz,607,30.05,0.9522,0.1417,0.547
HandWash_017_A_11_G_04,HandWash_017_A_11_G_04.npz,541,30.06,0.9982,0.1664,0.5823
HandWash_018_A_11_G_05,HandWash_018_A_11_G_05.npz,320,30.09,0.8125,0.0531,0.4328
HandWash_019_A_11_G_05,HandWash_019_A_11_G_05.npz,243,30.12,0.93,0.1934,0.5617
HandWash_020_A_11_G_05,HandWash_020_A_11_G_05.npz,251,30.12,1.0,0.0359,0.5179
HandWash_021_A_11_G_05,HandWash_021_A_11_G_05.npz,432,30.07,0.9884,0.4838,0.7361
HandWash_022_A_11_G_05,HandWash_022_A_11_G_05.npz,370,30.08,0.8811,0.7189,0.8
HandWash_023_A_11_G_05,HandWash_023_A_11_G_05.npz,338,30.09,1.0,0.8876,0.9438
HandWash_024_A_11_G_05,HandWash_024_A_11_G_05.npz,270,30.11,1.0,0.0519,0.5259
HandWash_025_A_11_G_05,HandWash_025_A_11_G_05.npz,357,30.08,0.9748,0.8039,0.8894
HandWash_001_A_12_G_01,HandWash_001_A_12_G_01.npz,196,30.15,0.6122,0.7857,0.699
HandWash_002_A_12_G_01,HandWash_002_A_12_G_01.npz,180,30.17,0.1944,1.0,0.5972
HandWash_003_A_12_G_01,HandWash_003_A_12_G_01.npz,253,30.12,0.2609,0.9289,0.5949
HandWash_004_A_12_G_01,HandWash_004_A_12_G_01.npz,180,30.17,0.1944,1.0,0.5972
HandWash_005_A_12_G_01,HandWash_005_A_12_G_01.npz,253,30.12,0.2609,0.9289,0.5949
HandWash_006_A_12_G_01,HandWash_006_A_12_G_01.npz,474,30.06,0.4873,0.8861,0.6867
HandWash_007_A_12_G_01,HandWash_007_A_12_G_01.npz,607,30.05,0.3229,0.9407,0.6318
HandWash_008_A_12_G_01,HandWash_008_A_12_G_01.npz,538,30.06,0.4498,0.9182,0.684
HandWash_009_A_12_G_02,HandWash_009_A_12_G_02.npz,414,30.07,0.2657,0.5604,0.413
HandWash_010_A_12_G_02,HandWash_010_A_12_G_02.npz,279,30.11,0.3047,0.6595,0.4821
HandWash_011_A_12_G_02,HandWash_011_A_12_G_02.npz,201,30.15,0.2886,0.4478,0.3682
HandWash_012_A_12_G_03,HandWash_012_A_12_G_03.npz,270,30.11,0.4704,0.9963,0.7333
HandWash_013_A_12_G_03,HandWash_013_A_12_G_03.npz,477,30.06,0.7002,0.6939,0.6971
HandWash_014_A_12_G_03,HandWash_014_A_12_G_03.npz,270,30.11,0.4704,0.9963,0.7333
HandWash_015_A_12_G_04,HandWash_015_A_12_G_04.npz,270,30.11,0.3852,0.7519,0.5685
HandWash_016_A_12_G_04,HandWash_016_A_12_G_04.npz,607,30.05,0.5519,0.8979,0.7249
HandWash_017_A_12_G_04,HandWash_017_A_12_G_04.npz,408,30.07,0.7721,0.875,0.8235
HandWash_018_A_12_G_05,HandWash_018_A_12_G_05.npz,303,30.1,0.6931,1.0,0.8465
HandWash_019_A_12_G_05,HandWash_019_A_12_G_05.npz,226,30.13,0.6681,1.0,0.8341
HandWash_020_A_12_G_05,HandWash_020_A_12_G_05.npz,340,30.09,1.0,0.9676,0.9838
HandWash_021_A_12_G_05,HandWash_021_A_12_G_05.npz,258,30.12,0.469,1.0,0.7345
HandWash_022_A_12_G_05,HandWash_022_A_12_G_05.npz,377,30.08,0.4164,1.0,0.7082
HandWash_023_A_12_G_05,HandWash_023_A_12_G_05.npz,276,30.11,0.5181,1.0,0.7591
HandWash_024_A_12_G_05,HandWash_024_A_12_G_05.npz,274,30.11,0.9489,1.0,0.9745
HandWash_025_A_12_G_05,HandWash_025_A_12_G_05.npz,313,30.1,0.5208,1.0,0.7604
